player_name,runs,bowling-stats,stadium,format
['Suyash Prabhudessai'],190,"['1/60', '0/8', '--', '0/8', '--', '0/11', '--', '0/29', '0/7', '0/11']","['Surat', 'Surat', 'Kamrej', 'Surat', 'Kamrej', 'Indore', 'Indore', 'Indore', 'Indore', 'Indore']","['List A', 'List A', 'List A', 'List A', 'List A', 'T20', 'T20', 'T20', 'T20', 'T20']"
['Devdutt Padikkal'],631,[],"['Ahmedabad', 'Ahmedabad', 'Mumbai', 'Mumbai', 'Chennai', 'Chennai', 'Delhi', 'Delhi', 'Bengaluru', 'Bengaluru']","['T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'List A', 'List A', 'List A', 'List A']"
['Josh Philippe'],178,[],"['11-Apr-2021', '08-Apr-2021', '07-Mar-2021', '05-Mar-2021', '03-Mar-2021', '25-Feb-2021', '22-Feb-2021', '06-Feb-2021', '30-Jan-2021', '26-Jan-2021']","['Sydney', 'Perth', 'Wellington', 'Wellington', 'Wellington', 'Dunedin', 'Christchurch', 'Sydney', 'Canberra', 'Melbourne']"
['Shahbaz Ahmed'],186,"['1/11', '--', '--', '3/7', '0/14', '3/35', '1/59', '1/56', '1/48', '2/46']","['Ahmedabad', 'Mumbai', 'Chennai', 'Chennai', 'Chennai', 'Kolkata', 'Kolkata', 'Kolkata', 'Kolkata', 'Kolkata']","['T20', 'T20', 'T20', 'T20', 'T20', 'List A', 'List A', 'List A', 'List A', 'List A']"
['Virat Kohli'],327,[],"['Ahmedabad', 'Ahmedabad', 'Mumbai', 'Mumbai', 'Chennai', 'Chennai', 'Chennai', 'Pune', 'Pune', 'Pune']","['T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'ODI # 4284', 'ODI # 4283', 'ODI # 4281']"
['Kane Richardson'],8,"['1/29', '0/16', '3/19', '1/17', '3/43', '0/42', '2/24', '1/29', '1/40', '2/38']","['Mumbai', 'Wellington', 'Wellington', 'Wellington', 'Dunedin', 'Christchurch', 'Melbourne', 'Canberra', 'Adelaide', 'Adelaide']","['T20', 'T20I # 1129', 'T20I # 1127', 'T20I # 1125', 'T20I # 1124', 'T20I # 1123', 'T20', 'T20', 'T20', 'T20']"
['Glenn Maxwell'],312,"['--', '--', '--', '--', '0/24', '--', '--', '--', '2/14', '0/15']","['Ahmedabad', 'Ahmedabad', 'Mumbai', 'Mumbai', 'Chennai', 'Chennai', 'Chennai', 'Wellington', 'Wellington', 'Wellington']","['T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'T20I # 1129', 'T20I # 1127', 'T20I # 1125']"
['Adam Zampa'],13,"['0/43', '2/24', '1/17', '1/43', '0/20', '0/34', '1/48', '0/24', '1/24', '5/17']","['Wellington', 'Wellington', 'Wellington', 'Dunedin', 'Christchurch', 'Melbourne', 'Melbourne', 'Melbourne (Docklands)', 'Melbourne', 'Melbourne']","['T20I # 1129', 'T20I # 1127', 'T20I # 1125', 'T20I # 1124', 'T20I # 1123', 'T20', 'T20', 'T20', 'T20', 'T20']"
['Harshal Patel'],56,"['0/53', '2/37', '3/51', '3/47', '2/17', '2/25', '5/27', '0/8', '0/20', '1/29']","['Ahmedabad', 'Ahmedabad', 'Mumbai', 'Mumbai', 'Chennai', 'Chennai', 'Chennai', 'Dubai (DSC)', 'Abu Dhabi', 'Sharjah']","['T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'T20']"
['Pavan Deshpande'],184,"['--', '--', '--', '0/6', '2/98', '--', '0/11', '--', '2/34', '0/15']","['Ahmedabad', 'Alur', 'Alur', 'Bengaluru', 'Rajkot', 'Dindigul', 'Surat', 'Surat', 'Surat', 'Surat']","['T20', 'T20', 'T20', 'FC', 'FC', 'FC', 'T20', 'T20', 'T20', 'T20']"
['Yuzvendra Chahal'],8,"['1/34', '0/10', '1/24', '0/18', '2/34', '0/29', '0/41', '1/41', '1/34', '1/44']","['Ahmedabad', 'Ahmedabad', 'Mumbai', 'Mumbai', 'Chennai', 'Chennai', 'Chennai', 'Ahmedabad', 'Ahmedabad', 'Ahmedabad']","['T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'T20I # 1133', 'T20I # 1132', 'T20I # 1131']"
['Sachin Baby'],341,"['0/44', '--', '0/39', '2/68', '2/68', '1/38', '2/26', '1/20', '0/10', '--']","['Delhi', 'Alur (3)', 'Bengaluru', 'Bengaluru', 'Alur (2)', 'Alur', 'Mumbai', 'Mumbai', 'Mumbai', 'Mumbai']","['List A', 'List A', 'List A', 'List A', 'List A', 'List A', 'T20', 'T20', 'T20', 'T20']"
['AB de Villiers'],322,[],"['30-Apr-2021', '27-Apr-2021', '25-Apr-2021', '22-Apr-2021', '18-Apr-2021', '14-Apr-2021', '09-Apr-2021', '06-Nov-2020', '02-Nov-2020', '31-Oct-2020']","['Ahmedabad', 'Ahmedabad', 'Mumbai', 'Mumbai', 'Chennai', 'Chennai', 'Chennai', 'Abu Dhabi', 'Abu Dhabi', 'Sharjah']"
['Dan Christian'],78,"['0/12', '0/7', '0/21', '1/45', '1/39', '1/28', '0/10', '1/12', '2/25', '0/9']","['Mumbai', 'Chennai', 'Chennai', 'Karachi', 'Karachi', 'Karachi', 'Karachi', 'Karachi', 'Sydney', 'Canberra']","['T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'T20']"
['Srikar Bharat'],260,[],"['19-Jan-2021', '17-Jan-2021', '15-Jan-2021', '13-Jan-2021', '11-Jan-2021', '20-Feb-2020', '12-Feb-2020', '07-Feb-2020', '30-Jan-2020', '11-Jan-2020']","['Mumbai', 'Mumbai', 'Mumbai', 'Mumbai', 'Mumbai', 'Ongole', 'Nadiad', 'Lincoln', 'Christchurch', 'Ongole']"
['Kyle Jamieson'],59,"['2/32', '1/32', '0/31', '1/28', '3/41', '1/30', '1/27', '1/30', '1/36', '0/25']","['Ahmedabad', 'Ahmedabad', 'Mumbai', 'Mumbai', 'Chennai', 'Chennai', 'Chennai', 'Wellington', 'Christchurch', 'Dunedin']","['T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'ODI # 4282', 'ODI # 4280', 'ODI # 4279']"
['Navdeep Saini'],62,"['0/27', '0/21 & 0/32', '2/65 & 2/54', '3/19 & 0/87', '0/70', '1/83', '0/31', '1/30', '0/19', '1/23']","['Mumbai', 'Brisbane', 'Sydney', 'Sydney', 'Sydney', 'Sydney', 'Abu Dhabi', 'Sharjah', 'Dubai (DSC)', 'Abu Dhabi']","['T20', 'Test # 2404', 'Test # 2402', 'FC', 'ODI # 4266', 'ODI # 4265', 'T20', 'T20', 'T20', 'T20']"
['Washington Sundar'],35,"['0/28', '0/13', '1/23', '1/33', '0/14', '1/7', '0/13', '0/52', '1/26', '2/29']","['Ahmedabad', 'Mumbai', 'Mumbai', 'Chennai', 'Chennai', 'Chennai', 'Ahmedabad', 'Ahmedabad', 'Ahmedabad', 'Ahmedabad']","['T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'T20I # 1138', 'T20I # 1135', 'T20I # 1133', 'T20I # 1132']"
['Rajat Patidar'],313,[],"['Ahmedabad', 'Ahmedabad', 'Chennai', 'Chennai', 'Indore', 'Indore', 'Indore', 'Indore', 'Indore', 'Indore']","['T20', 'T20', 'T20', 'T20', 'List A', 'List A', 'List A', 'List A', 'List A', 'T20']"
['Daniel Sams'],152,"['1/24', '0/15', '1/47', '1/46', '2/40', '1/32', '0/30', '2/25', '--', '1/30']","['Ahmedabad', 'Ahmedabad', 'Sydney', 'Dunedin', 'Christchurch', 'Canberra', 'Canberra', 'Canberra', 'Brisbane', 'Carrara']","['T20', 'T20', 'List A', 'T20I # 1124', 'T20I # 1123', 'T20', 'T20', 'T20', 'T20', 'T20']"
['Mohammed Azharuddeen'],324,[],"['08-Mar-2021', '28-Feb-2021', '26-Feb-2021', '24-Feb-2021', '22-Feb-2021', '20-Feb-2021', '19-Jan-2021', '17-Jan-2021', '15-Jan-2021', '13-Jan-2021']","['Delhi', 'Alur (3)', 'Bengaluru', 'Bengaluru', 'Alur (2)', 'Alur', 'Mumbai', 'Mumbai', 'Mumbai', 'Mumbai']"
